home_team,home_goals_sum,away_team,away_goals_sum
Blackburn,1.0,Wolves,2.0
Fulham,0.0,Aston Villa,0.0
Liverpool,1.0,Sunderland,1.0
Newcastle,0.0,Arsenal,0.0
QPR,0.0,Bolton,4.0
Wigan,1.0,Norwich,1.0
Stoke,0.0,Chelsea,0.0
West Brom,1.0,Man United,2.0
Man City,4.0,Swansea,0.0
Arsenal,0.0,Liverpool,2.0
Aston Villa,3.0,Blackburn,1.0
Chelsea,2.0,West Brom,1.0
Everton,0.0,QPR,1.0
Sunderland,0.0,Newcastle,1.0
Swansea,0.0,Wigan,0.0
Bolton,2.0,Man City,3.0
Norwich,1.0,Stoke,1.0
Wolves,2.0,Fulham,0.0
Man United,3.0,Tottenham,0.0
Aston Villa,1.8195919791379003,Wolves,1.2130613194252668
Blackburn,0.6065306597126334,Everton,1.0
Chelsea,4.213061319425266,Norwich,1.6065306597126334
Liverpool,3.606530659712633,Bolton,3.4261226388505337
Swansea,0.0,Sunderland,0.6065306597126334
Wigan,2.606530659712633,QPR,0.6065306597126334
Man United,9.8195919791379,Arsenal,2.0
Newcastle,2.0,Fulham,1.0
Tottenham,1.0,Man City,6.8195919791379005
West Brom,0.6065306597126334,Stoke,1.6065306597126334
Arsenal,1.0,Swansea,0.0
Bolton,1.2130613194252668,Man United,6.213061319425266
Everton,2.0,Aston Villa,2.0
Man City,5.426122638850534,Wigan,0.0
Stoke,1.0,Liverpool,1.2130613194252668
Sunderland,1.0,Chelsea,2.0
Wolves,1.2130613194252668,Tottenham,2.0
Fulham,1.0,Blackburn,1.6065306597126334
Norwich,0.6065306597126334,West Brom,1.6065306597126334
QPR,0.0,Newcastle,0.6065306597126334
Aston Villa,2.103638323514327,Newcastle,1.3678794411714423
Blackburn,4.367879441171443,Arsenal,4.213061319425266
Bolton,1.7357588823428847,Norwich,2.974410100884076
Everton,4.213061319425266,Wigan,1.0
Swansea,3.0,West Brom,0.9744101008840758
Wolves,0.7357588823428847,QPR,3.3678794411714423
Fulham,2.606530659712633,Man City,6.136291622077494
Man United,8.955883601215394,Chelsea,2.213061319425267
Sunderland,4.606530659712633,Stoke,0.9744101008840758
Tottenham,4.606530659712633,Liverpool,0.7357588823428847
Arsenal,3.606530659712633,Bolton,2.0780484243984025
Chelsea,6.555350861480784,Swansea,1.0
Liverpool,4.187471420309342,Wolves,1.7357588823428847
Man City,5.29110974382367,Everton,0.6065306597126334
Newcastle,4.213061319425266,Blackburn,1.9744101008840758
Stoke,1.6065306597126334,Man United,4.768412180906052
West Brom,0.36787944117144233,Fulham,0.6065306597126334
Wigan,2.580940760596709,Tottenham,3.213061319425267
QPR,1.0,Aston Villa,2.213061319425267
Norwich,2.3678794411714423,Sunderland,1.3678794411714423
Aston Villa,3.275921140157923,Wigan,0.6065306597126334
Blackburn,2.6492527989989636,Man City,7.721849005727768
Everton,2.5553508614807847,Liverpool,2.44626032029686
Man United,7.432017988954728,Norwich,1.804070920745139
Sunderland,4.794002080021976,West Brom,2.5910096013198722
Wolves,1.4462603202968598,Newcastle,2.829660819861063
Bolton,2.052790980009493,Chelsea,6.342289542055518
Fulham,7.580940760596709,QPR,2.04272213928633
Swansea,3.8195919791379005,Stoke,0.5910096013198721
Tottenham,4.794002080021976,Arsenal,3.5553508614807847
Chelsea,6.97602128266172,Everton,1.3678794411714423
Liverpool,3.5398298030880233,Man United,3.8921881858667047
Man City,7.2092202835333135,Aston Villa,2.342289542055518
Norwich,4.436191479573697,Swansea,1.6065306597126334
QPR,1.6065306597126334,Blackburn,2.197540261032506
Stoke,2.974410100884076,Fulham,0.36787944117144233
Wigan,2.5654197022039478,Bolton,4.2604000817651615
Arsenal,4.187471420309342,Sunderland,1.829660819861063
Newcastle,4.555350861480784,Tottenham,3.9488202017681515
West Brom,2.22313016014843,Wolves,1.052790980009493
Aston Villa,2.986946610306547,West Brom,3.5715267628103096
Bolton,1.2450806673573012,Sunderland,3.1097453841206883
Liverpool,3.14701530573742,Norwich,2.094224325727927
